Linux 6.6.74+rpt-rpi-v8 (snow) 	07/03/25 	_aarch64_	(4 CPU)

12:40:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:43:56     all   23.50    0.00    7.00    0.00    0.00    0.25    0.00    0.00    0.00   69.25
12:43:57     all   27.95    0.00    6.41    0.00    0.00    0.26    0.00    0.00    0.00   65.38
12:43:58     all   32.99    0.00   10.15    0.00    0.00    0.51    0.00    0.00    0.00   56.35
12:43:59     all   25.32    0.00    6.91    0.00    0.00    0.26    0.00    0.00    0.00   67.52
12:44:00     all   29.29    0.00    6.82    0.00    0.00    0.25    0.00    0.00    0.00   63.64
12:44:01     all   30.43    0.00    5.63    0.26    0.00    0.26    0.00    0.00    0.00   63.43
12:44:02     all   28.32    0.00    6.63    0.00    0.00    0.26    0.00    0.00    0.00   64.80
12:44:03     all   27.30    0.00    7.91    0.00    0.00    0.26    0.00    0.00    0.00   64.54
12:44:04     all   26.92    0.00    5.38    0.00    0.00    0.00    0.00    0.00    0.00   67.69
12:44:05     all   28.35    0.00    6.19    0.00    0.00    0.26    0.00    0.00    0.00   65.21
12:44:06     all   26.02    0.00    6.89    0.26    0.00    0.26    0.00    0.00    0.00   66.58
12:44:07     all   24.94    0.00    6.23    0.00    0.00    0.26    0.00    0.00    0.00   68.57
12:44:08     all   26.46    0.00    7.38    0.00    0.00    0.25    0.00    0.00    0.00   65.90
12:44:09     all   29.74    0.00    5.38    0.00    0.00    0.26    0.00    0.00    0.00   64.62
12:44:10     all   24.42    0.00    6.23    0.00    0.00    0.26    0.00    0.00    0.00   69.09
12:44:11     all   26.79    0.00    7.65    0.00    0.00    0.26    0.00    0.00    0.00   65.31
12:44:12     all   27.06    0.00    6.19    0.00    0.00    0.26    0.00    0.00    0.00   66.49
12:44:13     all   26.48    0.00    5.14    0.00    0.00    0.26    0.00    0.00    0.00   68.12
12:44:14     all   27.76    0.00    5.14    0.00    0.00    0.00    0.00    0.00    0.00   67.10
12:44:15     all   27.27    0.00    6.57    0.00    0.00    0.25    0.00    0.00    0.00   65.91
12:44:16     all   26.34    0.00    6.39    0.00    0.00    0.00    0.00    0.00    0.00   67.26
12:44:17     all   28.93    0.00    7.36    0.00    0.00    0.00    0.00    0.00    0.00   63.71
12:44:18     all   26.97    0.00    7.38    0.00    0.00    0.25    0.00    0.00    0.00   65.39
12:44:19     all   29.55    0.00    6.57    0.25    0.00    0.00    0.00    0.00    0.00   63.64
12:44:20     all   30.95    0.00    8.18    0.00    0.00    0.26    0.00    0.00    0.00   60.61
12:44:21     all   27.66    0.00    6.09    0.00    0.00    0.25    0.00    0.00    0.00   65.99
12:44:22     all   27.44    0.00    4.87    0.00    0.00    0.26    0.00    0.00    0.00   67.44
12:44:23     all   28.87    0.00    5.93    0.26    0.00    0.26    0.00    0.00    0.00   64.69
12:44:24     all   27.88    0.00    6.39    0.00    0.00    0.51    0.00    0.00    0.00   65.22
12:44:25     all   27.59    0.00    5.57    0.00    0.00    0.51    0.00    0.00    0.00   66.33
12:44:26     all   25.06    0.00    5.37    0.00    0.00    0.26    0.00    0.00    0.00   69.31
12:44:27     all   27.88    0.00    6.91    0.00    0.00    0.26    0.00    0.00    0.00   64.96
12:44:28     all   33.33    0.00    6.41    0.00    0.00    0.51    0.00    0.00    0.00   59.74
12:44:29     all   28.97    0.00    8.06    0.00    0.00    0.25    0.00    0.00    0.00   62.72
12:44:30     all   26.75    0.00    4.68    0.26    0.00    0.52    0.00    0.00    0.00   67.79
12:44:31     all   26.26    0.00    7.32    0.00    0.00    0.00    0.00    0.00    0.00   66.41
12:44:32     all   26.53    0.00    6.12    0.00    0.00    0.26    0.00    0.00    0.00   67.09
12:44:33     all   28.09    0.00    5.67    0.00    0.00    0.00    0.00    0.00    0.00   66.24
12:44:34     all   26.80    0.00    7.47    0.00    0.00    0.26    0.00    0.00    0.00   65.46
12:44:35     all   26.92    0.00    5.90    0.00    0.00    0.51    0.00    0.00    0.00   66.67
12:44:36     all   26.09    0.00    7.93    0.00    0.00    0.26    0.00    0.00    0.00   65.73
12:44:37     all   25.83    0.00    5.63    0.00    0.00    0.26    0.00    0.00    0.00   68.29
12:44:38     all   26.67    0.00    6.15    0.00    0.00    0.00    0.00    0.00    0.00   67.18
12:44:39     all   27.23    0.00    6.87    0.00    0.00    0.25    0.00    0.00    0.00   65.65
12:44:40     all   27.11    0.00    5.37    0.00    0.00    0.26    0.00    0.00    0.00   67.26
12:44:41     all   26.29    0.00    5.41    0.00    0.00    0.00    0.00    0.00    0.00   68.30
12:44:42     all   27.41    0.00    7.36    0.00    0.00    0.25    0.00    0.00    0.00   64.97
12:44:43     all   25.94    0.00    5.79    0.00    0.00    0.25    0.00    0.00    0.00   68.01
12:44:44     all   26.79    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   66.07
12:44:45     all   29.26    0.00    6.87    0.00    0.00    0.25    0.00    0.00    0.00   63.61
12:44:46     all   28.35    0.00    5.67    0.26    0.00    0.26    0.00    0.00    0.00   65.46
12:44:47     all   29.08    0.00    7.40    0.00    0.00    0.26    0.00    0.00    0.00   63.27
12:44:48     all   26.46    0.00    6.87    0.25    0.00    0.25    0.00    0.00    0.00   66.16
12:44:49     all   29.97    0.00    7.30    0.00    0.00    0.50    0.00    0.00    0.00   62.22
12:44:50     all   29.59    0.00    7.65    0.00    0.00    0.26    0.00    0.00    0.00   62.50
12:44:51     all   28.97    0.00    7.44    0.00    0.00    0.00    0.00    0.00    0.00   63.59
12:44:52     all   26.95    0.00    6.55    0.00    0.00    0.25    0.00    0.00    0.00   66.25
12:44:53     all   30.28    0.00    6.36    0.00    0.00    0.00    0.00    0.00    0.00   63.36
12:44:54     all   29.26    0.00    5.85    0.00    0.00    0.25    0.00    0.00    0.00   64.63
12:44:55     all   28.17    0.00    6.09    0.00    0.00    0.51    0.00    0.00    0.00   65.23
12:44:56     all   25.52    0.00    6.77    0.00    0.00    0.00    0.00    0.00    0.00   67.71
12:44:57     all   27.84    0.00    7.22    0.26    0.00    0.00    0.00    0.00    0.00   64.69
12:44:58     all   26.52    0.00    7.32    0.00    0.00    0.25    0.00    0.00    0.00   65.91
12:44:59     all   27.95    0.00    5.38    0.00    0.00    0.51    0.00    0.00    0.00   66.15
12:45:00     all   30.10    0.00    8.71    0.00    0.00    0.25    0.00    0.00    0.00   60.95
12:45:01     all   27.55    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   66.33
12:45:02     all   24.68    0.00    6.94    0.51    0.00    0.26    0.00    0.00    0.00   67.61
